section,depth,median-dip,dip-direction-mean,IQR
1,1.9302234375000002,58.8184749561006,1.1540299908682135,10.18597195181313
10,6.7079359375,30.06713336517018,36.32151433135895,2.4681774072583806
13,8.0300765625,25.801042537414464,71.93041409235549,8.4608277932263
14,8.7065390625,18.876846474121773,42.51762221037815,7.447983526011219
15,9.338421875,32.50238204972354,49.26192544445578,4.323872597046208
16,10.036959375000002,24.611083999339574,50.674539018771995,4.420817320570578
17,10.69909375,21.254412284920427,64.19597866602248,2.292720031693527
19,11.3721921875,26.82392928024446,28.17336627272255,4.527168990122487
2,2.7911875000000004,57.977571562937655,344.94622960137514,45.46831238887167
21,12.091223437499998,38.395509941992486,14.066368989115283,9.298518240852331
23,13.091826562500001,48.91316331795462,3.9461220327696926,24.653705599512218
25,13.8037203125,23.899542338226993,351.382102363424,9.041622753928916
26,14.519034375000002,42.40900347811132,333.7480918315527,4.3921924025109504
27,15.2003578125,23.942347651294227,50.15176982142675,11.50747748888212
28,15.6517671875,,,
30,16.014999999999997,,,
31,16.496603125,39.91283131081157,67.30535548950165,23.874790727163592
34,17.085234375,,,
37,17.9461171875,62.385546998665106,330.46739029295117,16.30369756746711
38,18.726196875,36.896581504052804,328.8036285042956,6.734487600229116
39,19.289096875,,,
4,4.3485390624999996,39.71050772996994,31.644913221607403,7.15287995601259
40,19.869734375,,,
42,20.8010796875,51.79453103574617,331.81567550788253,18.90349935700015
43,21.5757640625,59.657454162480406,349.74373182191357,13.310789619078179
44,22.325504687499997,67.69578560122454,307.0950487868397,14.666053209356498
45,22.926325,,,
46,23.364375000000003,,,
47,23.997787499999998,40.42352018378129,349.6025128947907,9.591882980760623
48,24.8382234375,67.27311630669686,287.32810350582736,39.52376642373763
49,25.699354687500005,38.464734812855404,206.6045860642437,21.805065265733113
50,26.531615625,18.620471925000963,279.5863448113973,21.26755098475807
51,27.2842203125,13.96918410648612,325.3711442422569,5.019949329137633
53,28.07443125,35.0968410645879,299.8065567170726,2.8268995435712156
54,28.8595359375,,,
55,29.6231109375,56.66277926264037,272.94221096507454,3.351983853382457
57,30.4938828125,54.80166925557468,269.30661570681104,8.51345516585711
61,31.914159375,46.309156839407024,278.69373722932835,7.272981458882008
9,5.9757515625,26.325740073398176,31.695865669664343,5.531485224861825
